division,organ,category,count,sum,sum_squared,max,min,mean
AQ,brain,VS,25997.0,1187556.0,131905656.0,705.0,0.0,45.68050159633804
CB,brain,grey,3445073.0,988643538.0,111485028030.0,5790.0,0.0,286.9731753144273
CTXsp,brain,grey,569974.0,190075605.0,18872512059.0,3841.0,5.0,333.48118510668905
HPF,brain,grey,2729402.0,887357236.0,88607297652.0,4008.0,0.0,325.110495265996
HY,brain,grey,972554.0,200567370.0,26398879692.0,1041.0,2.0,206.22748968180687
Isocortex,brain,grey,7891055.0,2769943778.0,257860492022.0,5228.0,0.0,351.02325075671126
MB,brain,grey,2351116.0,408859343.0,55000852669.0,912.0,1.0,173.90011509427862
MY,brain,grey,1981978.0,164582281.0,18236439051.0,559.0,0.0,83.03940861099366
OLF,brain,grey,2993394.0,850855650.0,92692468764.0,5983.0,0.0,284.24445629275664
P,brain,grey,1069305.0,92098874.0,9951982646.0,1038.0,0.0,86.12965804891962
PAL,brain,grey,599514.0,123803846.0,15718463234.0,1961.0,1.0,206.50701401468524
STR,brain,grey,2877420.0,818547876.0,91435801624.0,4342.0,1.0,284.4728527639344
TH,brain,grey,1297712.0,252282582.0,35408412284.0,2788.0,0.0,194.40567860973775
V3,brain,VS,57603.0,3665056.0,405318538.0,494.0,0.0,63.62613058347655
V4,brain,VS,61757.0,3920000.0,408213280.0,485.0,0.0,63.47458587690464
VL,brain,VS,238904.0,11495788.0,1107195740.0,853.0,0.0,48.11885945819241
brain-unassigned,brain,brain-unassigned,227696.0,11986475.0,1149550449.0,667.0,0.0,52.64244870353454
c,brain,VS,31.0,4279.0,622471.0,173.0,62.0,138.03225806451613
cbf,brain,fiber tracts,628532.0,34539580.0,3793853518.0,428.0,1.0,54.95277885612825
cm,brain,fiber tracts,785582.0,50231010.0,6374600576.0,5187.0,0.0,63.941141726770724
eps,brain,fiber tracts,78620.0,2609818.0,154505140.0,285.0,1.0,33.1953446960061
fiber tracts-unassigned,brain,fiber tracts,99413.0,5773916.0,524138936.0,685.0,0.0,58.08009012905757
lfbs,brain,fiber tracts,826608.0,54828281.0,5146516837.0,1902.0,1.0,66.329240704179
mfbs,brain,fiber tracts,452716.0,44314879.0,5368427083.0,2155.0,1.0,97.88670822325696
scwm,brain,fiber tracts,125428.0,12733857.0,1490224835.0,1944.0,19.0,101.52324042478554
