parcellation_index,organ,category,division,structure,substructure,count,min,max,sum,sum_squared,mean
1,brain,grey,HY,TMv,TMv,6931.0,14.0,271.0,1109218.0,184016668.0,160.03722406579138
2,brain,grey,Isocortex,SSp-m,SSp-m6b,7339.0,78.0,246.0,1039038.0,151801750.0,141.5775991279466
5,brain,fiber tracts,lfbs,cst,int,152172.0,6.0,413.0,5710603.0,301905011.0,37.52729148595011
6,brain,grey,P,PSV,PSV,70327.0,9.0,300.0,7604750.0,974281036.0,108.13414478080965
8,brain,grey,Isocortex,SSp-tr,SSp-tr6a,14877.0,141.0,518.0,4947638.0,482504846.0,332.56960408684546
9,brain,grey,MB,SCm,SCig,130357.0,31.0,405.0,28517297.0,4478881067.0,218.7630660417162
11,brain,grey,MB,IF,IF,5559.0,25.0,273.0,768450.0,118196792.0,138.23529411764707
13,brain,grey,TH,PT,PT,14706.0,69.0,522.0,4465424.0,470501336.0,303.64640282877735
15,brain,grey,MB,SCm,SCiw,133937.0,48.0,459.0,33061047.0,4376513453.0,246.84028311818244
17,brain,grey,HPF,IG,IG,7958.0,2.0,467.0,1552531.0,199179127.0,195.0906006534305
18,brain,grey,HPF,ENTl,ENTl2,102602.0,24.0,305.0,18088250.0,3233589522.0,176.29529638798465
21,brain,grey,STR,AAA,AAA,31652.0,19.0,552.0,7489604.0,1115130858.0,236.62340452420068
23,brain,grey,MB,SCm,SCdg,76483.0,27.0,418.0,17187876.0,2262750220.0,224.7280572153289
24,brain,grey,TH,IGL,IGL,4415.0,29.0,248.0,468543.0,52397015.0,106.12525481313703
25,brain,grey,HPF,ENTl,ENTl6a,67154.0,30.0,355.0,14797642.0,2731984526.0,220.35384340471157
27,brain,grey,HY,PVa,PVa,3191.0,53.0,224.0,459912.0,70123318.0,144.12785960513946
29,brain,grey,Isocortex,VISp,VISp6a,68387.0,106.0,472.0,19139861.0,2226557073.0,279.87572199394623
31,brain,grey,MB,III,III,2084.0,65.0,233.0,330496.0,53716166.0,158.5873320537428
32,brain,grey,Isocortex,GU,GU1,12588.0,6.0,398.0,2696702.0,391296668.0,214.2279949157928
34,brain,grey,HY,PVH,PVH,12076.0,53.0,393.0,2795377.0,355937661.0,231.48203047366678
36,brain,grey,Isocortex,VISpm,VISpm2/3,18770.0,126.0,521.0,5769774.0,578009384.0,307.3933937133724
