structure,organ,category,division,count,sum,sum_squared,max,min,mean
AAA,brain,grey,STR,31652.0,8496331.0,1051336661.0,685.0,20.0,268.42951472260836
ACAd,brain,grey,Isocortex,200306.0,73476853.0,6561604623.0,4442.0,41.0,366.823025770571
ACAv,brain,grey,Isocortex,154243.0,58286627.0,5097461313.0,1825.0,18.0,377.88831259765436
ACB,brain,grey,STR,281489.0,109032090.0,9243263816.0,2799.0,28.0,387.3404999840136
ACVII,brain,grey,MY,353.0,40749.0,4944257.0,200.0,73.0,115.43626062322946
AD,brain,grey,TH,10248.0,3015304.0,318192030.0,608.0,23.0,294.23341139734583
ADP,brain,grey,HY,6385.0,2308961.0,213948135.0,522.0,167.0,361.6227094753328
AHN,brain,grey,HY,45466.0,13240890.0,1566738158.0,827.0,56.0,291.22619099986804
AId,brain,grey,Isocortex,238486.0,74794266.0,7840200996.0,1806.0,4.0,313.62120208314116
AIp,brain,grey,Isocortex,155849.0,44601755.0,5134264639.0,2201.0,3.0,286.18569897785676
AIv,brain,grey,Isocortex,111100.0,38285445.0,3643234279.0,3049.0,5.0,344.6034653465347
AM,brain,grey,TH,26289.0,7610939.0,836391047.0,489.0,82.0,289.5104035908555
AMB,brain,grey,MY,2763.0,272965.0,30103999.0,247.0,27.0,98.79297864639884
AN,brain,grey,CB,691709.0,196461226.0,24175819228.0,2954.0,5.0,284.0229431740804
AOB,brain,grey,OLF,37630.0,6635235.0,1037408751.0,404.0,38.0,176.32832846133405
AON,brain,grey,OLF,311188.0,100888531.0,9937012129.0,5983.0,25.0,324.2044391171896
AP,brain,grey,MY,3397.0,278062.0,25080594.0,427.0,15.0,81.85516632322637
APN,brain,grey,MB,81666.0,11671823.0,1759360689.0,368.0,8.0,142.92144833835377
APr,brain,grey,HPF,20640.0,6417912.0,651949030.0,2238.0,43.0,310.9453488372093
AQ,brain,VS,AQ,25997.0,1187556.0,131905656.0,705.0,0.0,45.68050159633804
ARH,brain,grey,HY,18325.0,1748391.0,194555543.0,262.0,10.0,95.41015006821283
ASO,brain,grey,HY,388.0,128999.0,13703625.0,435.0,275.0,332.4716494845361
AT,brain,grey,MB,2757.0,216784.0,17922554.0,148.0,29.0,78.63039535727239
AUDd,brain,grey,Isocortex,77718.0,26043503.0,2618799211.0,2450.0,10.0,335.1025888468566
AUDp,brain,grey,Isocortex,137716.0,47006710.0,4604425012.0,3628.0,12.0,341.3307821894333
AUDpo,brain,grey,Isocortex,39164.0,12664212.0,1326335406.0,2325.0,42.0,323.36359922377693
AUDv,brain,grey,Isocortex,116657.0,34892995.0,3893971729.0,2801.0,6.0,299.1075974866489
AV,brain,grey,TH,26622.0,8235007.0,869625637.0,769.0,27.0,309.33089174367063
AVP,brain,grey,HY,5898.0,1803166.0,186100502.0,399.0,117.0,305.72499152255
AVPV,brain,grey,HY,11711.0,2154196.0,312579902.0,438.0,41.0,183.9463752028008
Acs5,brain,grey,P,914.0,138164.0,21532856.0,278.0,72.0,151.164113785558
B,brain,grey,P,994.0,210185.0,43119343.0,326.0,137.0,211.45372233400403
BA,brain,grey,STR,1603.0,448399.0,47242129.0,415.0,48.0,279.72489082969435
BAC,brain,grey,PAL,483.0,102085.0,14760553.0,723.0,81.0,211.35610766045548
BLA,brain,grey,CTXsp,121613.0,48219180.0,3997080990.0,2718.0,99.0,396.49692055947963
BMA,brain,grey,CTXsp,95068.0,31839867.0,3027207715.0,3387.0,98.0,334.9167648420078
BST,brain,grey,PAL,85792.0,27755180.0,2815351008.0,912.0,17.0,323.517111152555
CA1,brain,grey,HPF,653368.0,268646529.0,21531773869.0,2900.0,3.0,411.17184955492155
CA2,brain,grey,HPF,30407.0,15974472.0,998524962.0,1594.0,19.0,525.3550827112178
CA3,brain,grey,HPF,400887.0,145243803.0,13217618923.0,1876.0,24.0,362.30609373713787
CB-unassigned,brain,grey,CB,52787.0,4498450.0,525651148.0,2549.0,0.0,85.21889859245647
CEA,brain,grey,STR,84333.0,26347720.0,2643945732.0,4342.0,39.0,312.4247921928545
CENT,brain,grey,CB,260812.0,87313153.0,8462065735.0,3181.0,9.0,334.77429336073493
CL,brain,grey,TH,23142.0,3741855.0,625218117.0,412.0,20.0,161.69108115115375
CLA,brain,grey,CTXsp,35283.0,11191011.0,1138783837.0,2675.0,30.0,317.17855624521724
CLI,brain,grey,MB,5340.0,540310.0,63085182.0,310.0,15.0,101.18164794007491
CM,brain,grey,TH,15985.0,4072105.0,589111905.0,698.0,95.0,254.74538629965593
COAa,brain,grey,OLF,49142.0,13238716.0,1511054724.0,1368.0,58.0,269.39717553213137
COAp,brain,grey,OLF,159821.0,49181426.0,5230204380.0,2029.0,17.0,307.72818340518455
COPY,brain,grey,CB,160428.0,50056230.0,5416662080.0,2519.0,24.0,312.0167925798489
CP,brain,grey,STR,1665238.0,467726462.0,53051473160.0,3297.0,2.0,280.87664465980237
CS,brain,grey,P,38338.0,3550547.0,388179489.0,262.0,0.0,92.61169075069122
CTXsp-unassigned,brain,grey,CTXsp,23955.0,6832907.0,793690461.0,2981.0,69.0,285.2392819870591
CU,brain,grey,MY,21342.0,1791410.0,177823078.0,243.0,14.0,83.93824383844063
CUL,brain,grey,CB,430441.0,155259291.0,14147402315.0,5790.0,9.0,360.69819324831974
CUN,brain,grey,MB,35272.0,3785088.0,458247992.0,508.0,14.0,107.31140848264913
DCO,brain,grey,MY,39123.0,6677145.0,982338531.0,559.0,19.0,170.67057740970785
DEC,brain,grey,CB,213303.0,72080105.0,6894144989.0,2884.0,10.0,337.923540690942
DG,brain,grey,HPF,422230.0,119129021.0,13057094173.0,3116.0,1.0,282.14248395424295
DMH,brain,grey,HY,24068.0,6853523.0,730235441.0,530.0,104.0,284.7566478311451
DMX,brain,grey,MY,11139.0,2648094.0,404910700.0,398.0,51.0,237.73175329921895
DN,brain,grey,CB,21510.0,4165887.0,678971385.0,407.0,24.0,193.6721059972106
DP,brain,grey,OLF,32116.0,10653961.0,1062151539.0,1414.0,8.0,331.7337464192303
DR,brain,grey,MB,9814.0,2118029.0,378688317.0,489.0,91.0,215.81709802323212
DT,brain,grey,MB,725.0,59026.0,6032328.0,191.0,11.0,81.4151724137931
DTN,brain,grey,P,6637.0,1694607.0,217174107.0,430.0,103.0,255.3272562904927
ECT,brain,grey,Isocortex,109560.0,28097532.0,3308923812.0,2890.0,2.0,256.4579408543264
ECU,brain,grey,MY,13130.0,912947.0,79583021.0,239.0,8.0,69.53137852246763
ENTl,brain,grey,HPF,408232.0,108304671.0,13321317749.0,2894.0,4.0,265.3017671324149
ENTm,brain,grey,HPF,321967.0,88519743.0,10862297487.0,2626.0,13.0,274.93421064891743
EPd,brain,grey,CTXsp,116294.0,32195137.0,4052591739.0,2457.0,25.0,276.8426316061018
EPv,brain,grey,CTXsp,62260.0,18818003.0,2058160133.0,2522.0,103.0,302.2486829424992
EW,brain,grey,MB,1664.0,275599.0,45816119.0,280.0,61.0,165.62439903846155
Eth,brain,grey,TH,15130.0,2127616.0,324237218.0,285.0,23.0,140.62233972240583
FC,brain,grey,HPF,3970.0,522308.0,67041122.0,366.0,0.0,131.56372795969773
FL,brain,grey,CB,85475.0,17952139.0,2832806711.0,839.0,0.0,210.02794969289266
FN,brain,grey,CB,32062.0,2302196.0,205109536.0,224.0,13.0,71.804503773938
FOTU,brain,grey,CB,67534.0,19418175.0,2312478537.0,1130.0,21.0,287.5318358160334
