substructure,organ,category,division,structure,count,sum,sum_squared,max,min,mean
AAA,brain,grey,STR,AAA,31652.0,7489604.0,1115130858.0,552.0,19.0,236.62340452420068
ACAd1,brain,grey,Isocortex,ACAd,38133.0,12699571.0,1233350559.0,596.0,43.0,333.0336191749928
ACAd2/3,brain,grey,Isocortex,ACAd,39098.0,12765859.0,1260628047.0,565.0,156.0,326.50925878561566
ACAd5,brain,grey,Isocortex,ACAd,76687.0,28103810.0,2386227654.0,706.0,182.0,366.474239440844
ACAd6a,brain,grey,Isocortex,ACAd,44804.0,12037774.0,1478762646.0,516.0,93.0,268.67632354254084
ACAd6b,brain,grey,Isocortex,ACAd,1584.0,194249.0,24492803.0,221.0,67.0,122.63194444444444
ACAv1,brain,grey,Isocortex,ACAv,30297.0,10969869.0,985020733.0,636.0,18.0,362.0777304683632
ACAv2/3,brain,grey,Isocortex,ACAv,32601.0,10648216.0,1047476260.0,471.0,81.0,326.6223735468237
ACAv5,brain,grey,Isocortex,ACAv,64153.0,23266433.0,2151057081.0,521.0,80.0,362.6710052530669
ACAv6a,brain,grey,Isocortex,ACAv,23226.0,6653505.0,730649139.0,409.0,66.0,286.46796693360886
ACAv6b,brain,grey,Isocortex,ACAv,3966.0,693895.0,124658881.0,284.0,37.0,174.96091780131115
ACB,brain,grey,STR,ACB,281489.0,101651079.0,9286489613.0,610.0,30.0,361.11918760591
ACVII,brain,grey,MY,ACVII,353.0,43536.0,5649248.0,217.0,77.0,123.3314447592068
AD,brain,grey,TH,AD,10248.0,3470956.0,317652138.0,685.0,29.0,338.6959406713505
ADP,brain,grey,HY,ADP,6385.0,2184094.0,246122900.0,438.0,173.0,342.0664056382146
AHN,brain,grey,HY,AHN,45466.0,12532066.0,1419365270.0,409.0,58.0,275.635991730084
AId1,brain,grey,Isocortex,AId,29473.0,6603931.0,948877591.0,446.0,7.0,224.06714620160824
AId2/3,brain,grey,Isocortex,AId,59244.0,15985234.0,1897028214.0,417.0,125.0,269.82030247788805
AId5,brain,grey,Isocortex,AId,96632.0,30523525.0,3106776875.0,451.0,111.0,315.87388235781106
AId6a,brain,grey,Isocortex,AId,50002.0,13474225.0,1425650841.0,400.0,64.0,269.47372105115795
AId6b,brain,grey,Isocortex,AId,3135.0,649357.0,120738799.0,336.0,64.0,207.13141945773523
AIp1,brain,grey,Isocortex,AIp,27060.0,6537270.0,906639454.0,431.0,4.0,241.58425720620843
AIp2/3,brain,grey,Isocortex,AIp,51401.0,11498999.0,1883754803.0,362.0,56.0,223.7115814867415
AIp5,brain,grey,Isocortex,AIp,48165.0,13119402.0,1202053278.0,389.0,26.0,272.38455309872313
AIp6a,brain,grey,Isocortex,AIp,27900.0,6987735.0,916334835.0,352.0,92.0,250.45645161290324
AIp6b,brain,grey,Isocortex,AIp,1323.0,259942.0,50105238.0,281.0,101.0,196.47921390778535
AIv1,brain,grey,Isocortex,AIv,16036.0,4278820.0,528932494.0,585.0,6.0,266.82589174357696
AIv2/3,brain,grey,Isocortex,AIv,38034.0,11407812.0,1242755782.0,525.0,70.0,299.93721407162013
AIv5,brain,grey,Isocortex,AIv,46103.0,15410355.0,1502944747.0,498.0,117.0,334.2592672928009
AIv6a,brain,grey,Isocortex,AIv,10733.0,3215592.0,334886578.0,469.0,129.0,299.59862107518865
AIv6b,brain,grey,Isocortex,AIv,194.0,41195.0,8227417.0,274.0,136.0,212.34536082474227
AMBd,brain,grey,MY,AMB,1359.0,151680.0,19236944.0,251.0,31.0,111.61147902869757
AMBv,brain,grey,MY,AMB,1404.0,135336.0,13721126.0,184.0,51.0,96.3931623931624
AMd,brain,grey,TH,AM,15662.0,5166740.0,517532604.0,513.0,85.0,329.890180053633
AMv,brain,grey,TH,AM,10627.0,3188766.0,348284592.0,509.0,125.0,300.0626705561306
ANcr1,brain,grey,CB,AN,364503.0,110777613.0,12597815353.0,735.0,15.0,303.91413239397207
ANcr2,brain,grey,CB,AN,327206.0,91093002.0,11443181660.0,675.0,7.0,278.396490284408
AOBgl,brain,grey,OLF,AOB,9886.0,1449343.0,222324447.0,445.0,47.0,146.6056038842808
AOBgr,brain,grey,OLF,AOB,10076.0,1175303.0,146855137.0,215.0,42.0,116.64380706629615
AOBmi,brain,grey,OLF,AOB,17668.0,3572823.0,665401833.0,290.0,59.0,202.22000226398006
AON,brain,grey,OLF,AON,311188.0,82264555.0,9782565351.0,731.0,26.0,264.3564501201846
AP,brain,grey,MY,AP,3397.0,319870.0,31630724.0,547.0,19.0,94.1624963202826
APN,brain,grey,MB,APN,81666.0,13237791.0,2181012045.0,378.0,9.0,162.09672323855705
APr,brain,grey,HPF,APr,20640.0,6051431.0,661529633.0,495.0,42.0,293.1894864341085
AQ,brain,VS,AQ,AQ,25997.0,1251506.0,141005610.0,434.0,1.0,48.140400815478706
ARH,brain,grey,HY,ARH,18325.0,1675216.0,172570306.0,183.0,11.0,91.41697135061392
ASO,brain,grey,HY,ASO,388.0,114118.0,8608106.0,338.0,250.0,294.1185567010309
AT,brain,grey,MB,AT,2757.0,191764.0,14134770.0,125.0,25.0,69.55531374682626
AUDd1,brain,grey,Isocortex,AUDd,12598.0,2597991.0,525570391.0,303.0,12.0,206.22249563422764
AUDd2/3,brain,grey,Isocortex,AUDd,20957.0,6032886.0,735211038.0,411.0,158.0,287.86973326334873
AUDd4,brain,grey,Isocortex,AUDd,8479.0,2955984.0,345001974.0,457.0,124.0,348.6241302040335
AUDd5,brain,grey,Isocortex,AUDd,21944.0,7557081.0,739469519.0,445.0,76.0,344.3802861830113
AUDd6a,brain,grey,Isocortex,AUDd,11802.0,3059280.0,335831558.0,355.0,135.0,259.2170818505338
AUDd6b,brain,grey,Isocortex,AUDd,1938.0,341426.0,61259830.0,236.0,62.0,176.17440660474716
AUDp1,brain,grey,Isocortex,AUDp,24226.0,5004642.0,980237034.0,315.0,15.0,206.5814414265665
AUDp2/3,brain,grey,Isocortex,AUDp,30166.0,8658036.0,1037272378.0,528.0,143.0,287.0130610621229
AUDp4,brain,grey,Isocortex,AUDp,15023.0,5353386.0,523942248.0,567.0,234.0,356.3460027957132
AUDp5,brain,grey,Isocortex,AUDp,45730.0,15210453.0,1497749671.0,638.0,120.0,332.61432320139954
AUDp6a,brain,grey,Isocortex,AUDp,19087.0,4754398.0,629500832.0,338.0,133.0,249.09089956514904
AUDp6b,brain,grey,Isocortex,AUDp,3484.0,569247.0,95873691.0,262.0,68.0,163.38892078071183
AUDpo1,brain,grey,Isocortex,AUDpo,7221.0,1545859.0,298633061.0,316.0,44.0,214.07824401052486
AUDpo2/3,brain,grey,Isocortex,AUDpo,9377.0,2548498.0,333200806.0,394.0,144.0,271.7818065479364
AUDpo4,brain,grey,Isocortex,AUDpo,4768.0,1602889.0,184449845.0,483.0,235.0,336.17638422818794
AUDpo5,brain,grey,Isocortex,AUDpo,11609.0,3842316.0,409198056.0,427.0,201.0,330.97734516323544
AUDpo6a,brain,grey,Isocortex,AUDpo,5049.0,1337847.0,120928597.0,399.0,146.0,264.9726678550208
AUDpo6b,brain,grey,Isocortex,AUDpo,1140.0,205519.0,37946619.0,290.0,51.0,180.2798245614035
AUDv1,brain,grey,Isocortex,AUDv,18571.0,3545103.0,673928415.0,310.0,8.0,190.89456679769532
AUDv2/3,brain,grey,Isocortex,AUDv,24722.0,5768521.0,876732225.0,349.0,78.0,233.3355311058976
AUDv4,brain,grey,Isocortex,AUDv,13693.0,4212128.0,419497442.0,399.0,170.0,307.6117724384722
