label,acronym,name,color_hex_triplet,graph_order,identifier,red,green,blue,parent_identifier
AllenCCF-Ontology-2017-997,brain,brain,#FFFFFF,0.0,MBA:997,255,255,255,
AllenCCF-Ontology-2017-8,grey,Basic cell groups and regions,#BFDAE3,1.0,MBA:8,191,218,227,MBA:997
AllenCCF-Ontology-2017-567,CH,Cerebrum,#B0F0FF,2.0,MBA:567,176,240,255,MBA:8
AllenCCF-Ontology-2017-688,CTX,Cerebral cortex,#B0FFB8,3.0,MBA:688,176,255,184,MBA:567
AllenCCF-Ontology-2017-695,CTXpl,Cortical plate,#70FF70,4.0,MBA:695,112,255,112,MBA:688
AllenCCF-Ontology-2017-315,Isocortex,Isocortex,#70FF71,5.0,MBA:315,112,255,113,MBA:695
AllenCCF-Ontology-2017-184,FRP,"Frontal pole, cerebral cortex",#268F45,6.0,MBA:184,38,143,69,MBA:315
AllenCCF-Ontology-2017-68,FRP1,"Frontal pole, layer 1",#268F45,7.0,MBA:68,38,143,69,MBA:184
AllenCCF-Ontology-2017-667,FRP2/3,"Frontal pole, layer 2/3",#268F45,8.0,MBA:667,38,143,69,MBA:184
AllenCCF-Ontology-2017-526157192,FRP5,"Frontal pole, layer 5",#268F45,9.0,MBA:526157192,38,143,69,MBA:184
AllenCCF-Ontology-2017-526157196,FRP6a,"Frontal pole, layer 6a",#268F45,10.0,MBA:526157196,38,143,69,MBA:184
AllenCCF-Ontology-2017-526322264,FRP6b,"Frontal pole, layer 6b",#268F45,11.0,MBA:526322264,38,143,69,MBA:184
AllenCCF-Ontology-2017-500,MO,Somatomotor areas,#1F9D5A,12.0,MBA:500,31,157,90,MBA:315
AllenCCF-Ontology-2017-107,MO1,"Somatomotor areas, Layer 1",#1F9D5A,13.0,MBA:107,31,157,90,MBA:500
AllenCCF-Ontology-2017-219,MO2/3,"Somatomotor areas, Layer 2/3",#1F9D5A,14.0,MBA:219,31,157,90,MBA:500
AllenCCF-Ontology-2017-299,MO5,"Somatomotor areas, Layer 5",#1F9D5A,15.0,MBA:299,31,157,90,MBA:500
AllenCCF-Ontology-2017-644,MO6a,"Somatomotor areas, Layer 6a",#1F9D5A,16.0,MBA:644,31,157,90,MBA:500
AllenCCF-Ontology-2017-947,MO6b,"Somatomotor areas, Layer 6b",#1F9D5A,17.0,MBA:947,31,157,90,MBA:500
AllenCCF-Ontology-2017-985,MOp,Primary motor area,#1F9D5A,18.0,MBA:985,31,157,90,MBA:500
AllenCCF-Ontology-2017-320,MOp1,"Primary motor area, Layer 1",#1F9D5A,19.0,MBA:320,31,157,90,MBA:985
AllenCCF-Ontology-2017-943,MOp2/3,"Primary motor area, Layer 2/3",#1F9D5A,20.0,MBA:943,31,157,90,MBA:985
