parcellation_index,organ,category,division,structure,substructure
0,unassigned,unassigned,unassigned,unassigned,unassigned
1,brain,grey,HY,TMv,TMv
2,brain,grey,Isocortex,SSp-m,SSp-m6b
5,brain,fiber tracts,lfbs,cst,int
6,brain,grey,P,PSV,PSV
8,brain,grey,Isocortex,SSp-tr,SSp-tr6a
9,brain,grey,MB,SCm,SCig
11,brain,grey,MB,IF,IF
13,brain,grey,TH,PT,PT
15,brain,grey,MB,SCm,SCiw
17,brain,grey,HPF,IG,IG
18,brain,grey,HPF,ENTl,ENTl2
21,brain,grey,STR,AAA,AAA
23,brain,grey,MB,SCm,SCdg
24,brain,grey,TH,IGL,IGL
25,brain,grey,HPF,ENTl,ENTl6a
27,brain,grey,HY,PVa,PVa
29,brain,grey,Isocortex,VISp,VISp6a
31,brain,grey,MB,III,III
32,brain,grey,Isocortex,GU,GU1
34,brain,grey,HY,PVH,PVH
36,brain,grey,Isocortex,VISpm,VISpm2/3
37,brain,grey,MB,SCm,SCdw
45,brain,grey,MB,PAG,PRC
47,brain,grey,HPF,ENTl,ENTl3
49,brain,fiber tracts,mfbs,mfsbshy,mfb
51,brain,grey,STR,ACB,ACB
53,brain,grey,MB,MT,MT
54,brain,grey,TH,IMD,IMD
57,brain,fiber tracts,cm,IIIn,mlf
58,brain,grey,HY,PVHd,PVHd
59,brain,grey,TH,AD,AD
61,brain,grey,MB,LT,LT
62,brain,grey,MB,PAG,INC
63,brain,grey,Isocortex,FRP,FRP1
67,brain,grey,HY,ADP,ADP
69,brain,grey,Isocortex,VISl,VISl6a
70,brain,grey,MB,DT,DT
73,brain,fiber tracts,cbf,cbp,mcp
76,brain,VS,VL,VL-unassigned,VL-unassigned
78,brain,grey,MY,IO,IO
79,brain,grey,Isocortex,PL,PL6a
83,brain,grey,HY,AHN,AHN
86,brain,grey,CB,IP,IP
88,brain,fiber tracts,cm,Vn,moV
91,brain,grey,MY,DCO,DCO
92,brain,grey,Isocortex,TEa,TEa1
93,brain,VS,VL,SEZ,SEZ
95,brain,grey,MB,IPN,IPN-unassigned
96,brain,grey,MY,VCO,VCO
97,brain,fiber tracts,eps,epsc,nst
100,brain,grey,P,SOC,SOCm
101,brain,grey,MY,ISN,ISN
103,brain,VS,VL,chpl,chpl
108,brain,grey,Isocortex,SSp-ll,SSp-ll2/3
109,brain,grey,P,SOC,SOCl
110,brain,grey,MB,IV,IV
112,brain,fiber tracts,cm,IIn,och
113,brain,grey,HY,PVi,PVi
115,brain,grey,Isocortex,AIp,AIp1
116,brain,grey,Isocortex,VISl,VISl6b
117,brain,grey,P,SOC,POR
118,brain,grey,P,PB,KF
120,brain,fiber tracts,cm,IIn,opt
121,brain,grey,HY,PVp,PVp
123,brain,grey,MB,MRN,MRN
124,brain,VS,V3,V3-unassigned,V3-unassigned
126,brain,grey,CTXsp,LA,LA
127,brain,grey,Isocortex,PL,PL6b
128,brain,grey,HY,PVpo,PVpo
131,brain,grey,MY,IRN,IRN
134,brain,grey,HPF,ENTl,ENTl5
135,brain,VS,AQ,AQ,AQ
138,brain,grey,MY,AMB,AMBv
140,brain,VS,V4,V4-unassigned,V4-unassigned
141,brain,grey,P,PRNr,PRNr
142,brain,grey,P,LC,LC
143,brain,grey,Isocortex,GU,GU4
144,brain,grey,TH,PVT,PVT
148,brain,VS,V4,V4r,V4r
150,brain,grey,TH,LD,LD
151,brain,grey,Isocortex,AUDd,AUDd6a
153,brain,fiber tracts,cm,IIIn,pc
154,brain,grey,OLF,AON,AON
157,brain,grey,P,LDT,LDT
